1157,1,5,7,6,1,3,5,7,7,8,9,"Y"
1303,1,1,1,1,1,1,1,1,1,1,1,"No"
1348,2,1,2,2,1,1,1,1,1,1,2,"No"
1764,2,7,6,4,1,1,5,4,1,7,,"No"
2240,2,1,1,1,1,1,2,1,1,1,1,"No"
2275,2,1,4,3,1,1,3,1,1,1,3,"No"
2352,2,1,1,1,1,1,1,1,1,1,1,"No"
399,3,8,7,8,1,5,9,8,7,10,8,"Y"
932,3,1,2,2,1,2,5,1,1,1,1,"No"
1410,3,7,7,8,10,10,10,10,6,7,9,"Y"
1789,3,1,4,5,1,1,5,4,1,4,4,"Y"
4388,3,1,7,8,1,6,3,3,5,1,5,"No"
662,4,4,7,5,1,8,7,3,2,6,9,"No"
1158,4,7,4,5,1,1,5,1,1,1,4,"Y"
1245,4,6,5,6,1,3,8,7,1,6,5,"Y"
4072,4,1,3,5,1,1,1,2,1,1,3,"No"
1377,5,7,5,6,1,1,2,5,2,4,3,"Y"
1583,5,7,3,3,1,5,5,3,3,7,6,"Y"
3200,5,1,5,5,1,6,7,1,6,6,6,"No"
3648,5,4,7,8,1,2,2,1,1,1,1,"No"
3729,5,1,1,1,1,1,1,1,1,1,1,"No"
1177,6,1,1,1,1,1,1,1,1,1,1,"Y"
1361,6,2,4,3,1,1,1,2,1,1,2,"No"
2083,6,2,2,3,1,1,1,1,1,1,1,"Y"
2259,6,1,5,6,1,1,1,3,3,4,4,"No"
3172,6,7,8,8,1,1,5,8,4,6,8,"Y"
3403,6,4,6,5,1,1,1,3,4,3,4,"No"
443,7,1,5,3,1,1,2,3,1,4,2,"Tie"
1584,7,1,8,6,1,1,3,1,1,1,4,"Tie"
3703,7,1,3,2,1,1,1,1,2,1,3,"Tie"
3807,7,3,2,2,1,1,1,1,1,1,1,"Y"
1339,8,6,4,6,1,4,2,1,2,1,4,"Y"
1799,8,1,1,1,1,1,1,1,1,1,1,"Y"
2036,8,1,7,7,1,1,2,1,4,1,3,"No"
2996,8,8,7,5,1,7,8,8,1,7,8,"Y"
3643,8,1,1,1,1,1,1,1,1,1,1,"No"
4068,8,1,3,2,1,1,3,3,2,4,4,"No"
1619,9,7,4,4,1,8,8,7,6,8,7,"Y"
4072,9,1,3,6,1,1,2,1,1,1,2,"No"
1691,10,1,2,6,1,1,1,1,1,1,2,"Tie"
2083,10,1,6,3,1,1,1,1,1,1,1,"Tie"
3173,10,3,1,1,1,1,1,1,1,1,1,"Tie"
1158,11,8,6,7,1,6,8,8,7,9,9,"No"
1245,11,1,5,8,1,5,7,4,2,4,5,"Y"
1348,11,1,3,3,1,5,5,1,3,4,2,"No"
2240,11,1,1,6,1,1,1,1,1,1,1,"Y"
3648,11,1,1,1,1,1,1,1,1,1,1,"No"
4293,11,3,6,5,1,8,9,3,4,2,7,"Y"
1303,12,1,1,2,1,1,1,1,1,1,1,"Y"
1339,12,1,5,5,1,1,3,7,1,4,4,"Y"
1789,12,1,6,7,1,1,1,1,1,1,1,"No"
2275,12,6,6,5,1,1,1,2,1,5,4,"No"
3643,12,7,6,7,1,6,7,1,6,2,5,"No"
4388,12,8,8,7,1,1,2,7,4,2,7,"Y"
1361,13,1,1,1,1,1,1,1,1,1,1,"No"
1410,13,7,7,7,9,7,8,3,6,1,6,"Y"
2341,13,6,5,6,1,8,8,3,1,5,6,"Y"
2996,13,5,8,7,1,1,1,5,5,8,9,"Y"
3703,13,1,6,5,1,1,1,1,1,1,1,"No"
1377,14,9,6,7,1,6,3,8,1,4,5,"Y"
1585,14,1,3,4,1,1,1,1,1,1,1,"Y"
1764,14,9,7,8,1,5,9,9,4,7,8,"No"
1799,14,1,1,1,1,1,1,3,1,1,1,"No"
2259,14,1,2,3,1,1,1,9,2,3,5,"No"
4364,14,8,9,8,8,1,1,1,1,1,6,"Y"
2036,15,7,6,7,1,1,1,1,1,1,3,"No"
2352,15,7,7,6,1,5,6,7,3,7,6,"No"
662,16,8,6,7,2,8,8,9,8,7,7,"Y"
932,16,1,2,2,1,1,1,2,1,2,1,"Y"
1157,16,5,5,4,1,1,1,7,1,7,5,"Y"
3403,16,4,1,1,1,1,1,1,1,1,1,"Y"
2261,17,4,3,3,1,1,1,2,1,4,3,"Y"
2996,17,6,6,6,1,9,9,8,1,8,9,"Y"
3172,17,10,7,8,1,1,1,7,3,5,6,"No"
3807,17,1,7,8,1,1,2,6,4,1,5,"No"
399,18,7,8,8,1,3,7,9,3,8,9,"No"
1303,18,3,3,2,1,1,1,1,1,1,1,"No"
1410,18,10,9,10,10,9,10,7,9,1,10,"Y"
3200,18,9,8,8,1,7,8,10,7,8,9,"Y"
1619,19,4,3,3,1,1,1,7,1,1,5,"Y"
3703,19,1,3,4,1,3,2,1,1,1,2,"No"
3729,19,1,6,3,5,10,10,2,5,8,5,"No"
662,20,8,5,4,1,8,7,8,7,4,7,"Y"
4293,20,1,4,6,1,1,2,1,1,1,3,"Y"
159,21,3,3,2,1,1,1,5,1,6,5,"Y"
1158,21,7,3,5,1,8,8,8,1,7,9,"Y"
1361,21,3,6,4,7,3,6,4,3,4,1,"No"
4388,21,1,7,5,1,1,2,3,2,3,3,"No"
1157,22,7,3,2,1,7,6,8,1,4,8,"Y"
1339,22,5,4,4,1,1,1,2,1,3,4,"Y"
3643,22,1,1,1,1,1,1,1,1,1,1,"Y"
1377,23,4,3,6,10,7,7,5,9,5,8,"Tie"
1977,23,4,7,7,1,5,1,6,1,7,6,"Tie"
2279,23,6,5,5,1,1,1,5,1,5,5,"Tie"
3648,23,1,8,10,1,1,1,1,1,1,2,"Tie"
3807,23,1,2,3,1,1,3,2,3,5,4,"Tie"
4386,23,1,8,8,10,5,8,1,9,1,8,"Tie"
443,24,1,4,3,7,7,5,5,2,4,7,"Y"
932,24,1,2,2,1,1,2,6,5,4,4,"Y"
1691,24,6,5,6,1,1,1,4,1,4,3,"No"
3403,24,1,3,3,1,1,1,8,5,9,9,"No"
1158,25,10,7,7,1,1,1,8,5,9,9,"No"
1303,25,3,4,4,3,6,7,3,5,7,5,"Y"
1790,25,1,1,1,1,1,1,1,1,1,1,"No"
3729,25,2,4,4,1,3,4,5,6,5,5,"No"
259,26,1,3,4,1,1,2,1,5,7,3,"No"
1245,26,1,3,2,1,1,1,2,3,1,2,"Y"
2083,26,1,1,1,1,1,1,1,1,1,1,"No"
4388,26,3,6,3,4,5,7,3,5,6,8,"Y"
1339,27,1,3,5,1,1,1,5,1,6,8,"No"
1619,27,1,1,1,1,1,1,1,1,1,1,"Y"
1764,27,7,8,8,1,9,8,9,5,7,8,"Y"
2996,27,7,7,7,1,8,8,8,7,9,9,"Y"
1583,28,5,1,1,1,1,1,3,1,1,1,"No"
1691,28,1,6,7,1,7,1,1,1,4,5,"Y"
1789,28,1,6,5,1,4,7,7,5,5,7,"No"
1789,28,1,1,1,1,1,1,1,1,1,1,"Y"
662,30,1,4,6,5,3,3,5,8,7,5,"Y"
662,30,3,6,8,1,9,7,2,1,2,3,"Y"
1157,31,5,4,4,1,2,4,4,1,5,4,"No"
1348,31,1,5,5,1,5,6,1,1,1,4,"Y"
1410,31,8,7,6,2,7,7,9,5,1,7,"Y"
3648,31,5,4,5,6,6,3,7,7,8,10,"No"
1377,32,5,6,6,1,1,1,3,1,6,5,"Tie"
3172,32,1,7,7,1,4,1,3,1,3,2,"Tie"
3643,32,1,7,8,1,1,6,1,5,1,5,"Tie"
3807,32,1,3,2,1,1,1,4,1,2,1,"Tie"
1339,33,1,2,2,1,1,2,1,3,2,3,"No"
1583,33,7,6,7,1,7,9,6,7,3,5,"No"
4065,33,1,4,3,5,5,4,7,5,4,3,"No"
2083,34,5,6,4,1,1,1,3,1,2,2,"No"
3200,34,1,1,1,1,1,1,1,1,1,1,"No"
4386,34,4,2,3,5,5,5,3,4,4,2,"Y"
399,35,8,6,7,1,6,6,8,5,7,8,"Y"
662,35,3,3,2,1,4,4,3,2,3,3,"No"
2383,35,8,6,4,5,4,5,5,3,5,7,"Y"
3703,35,1,2,1,1,1,1,1,1,1,1,"Y"
1157,36,2,1,1,1,1,1,1,1,1,1,"Tie"
1619,36,3,6,5,1,1,1,3,1,1,2,"Tie"
4245,36,5,1,5,3,7,2,4,6,6,4,"Tie"
1303,37,1,3,3,1,1,1,1,1,3,2,"Y"
2036,37,2,6,3,3,3,4,3,4,5,8,"Y"
4293,37,3,7,7,3,1,8,6,7,6,7,"No"
1377,38,2,5,4,1,2,1,1,3,1,4,"Y"
1410,38,10,5,5,10,6,9,8,7,4,7,"Y"
3172,38,7,4,4,1,2,3,8,6,5,3,"No"
3408,38,1,7,5,6,10,9,5,7,4,8,"No"
1158,39,2,6,3,7,7,6,7,4,4,7,"Y"
3643,39,1,4,3,1,8,8,1,1,1,3,"Y"
3807,39,1,4,8,1,1,1,6,2,1,3,"No"
4072,39,1,3,3,1,2,1,1,3,1,2,"No"
159,40,1,7,9,1,1,1,7,2,8,5,"Y"
1348,40,1,1,1,1,1,1,1,1,1,1,"No"
1789,40,1,3,4,1,1,2,2,1,2,3,"Y"
1977,40,1,9,7,1,9,1,3,1,5,6,"Y"
2259,40,1,4,5,1,1,1,6,1,2,,"Y"
3729,40,1,6,9,4,7,5,7,5,6,9,"Y"
399,41,8,7,9,1,2,3,7,6,8,8,"Y"
1583,41,9,8,5,1,10,8,6,1,7,,"Y"
2341,41,1,6,4,5,3,4,5,5,7,2,"No"
2996,41,10,8,8,1,10,10,10,9,10,,"Y"
4386,41,1,8,10,10,1,2,1,1,1,8,"No"
332,42,3,7,5,7,6,5,5,3,7,2,"No"
662,42,3,5,5,1,8,6,8,4,5,7,"Y"
932,42,5,3,2,1,1,1,4,1,2,1,"No"
1339,42,1,8,7,1,5,4,2,2,2,3,"No"
2352,42,1,6,6,1,1,1,8,1,7,7,"Y"
1764,43,6,9,8,1,9,5,7,1,6,5,"Y"
2036,43,4,10,7,5,4,7,3,7,8,2,"Y"
2083,43,2,3,3,1,1,1,1,2,3,3,"No"
1344,44,1,4,4,4,1,1,1,1,1,1,"No"
1619,44,4,1,1,1,1,1,1,1,1,1,"No"
1977,44,1,7,6,1,1,1,7,5,6,6,"Y"
3643,44,1,5,4,1,8,7,3,6,4,6,"Y"
443,45,4,6,3,1,1,6,4,1,1,3,"No"
1584,45,1,5,3,1,7,8,3,2,2,5,"Y"
3403,45,1,1,1,1,1,1,1,1,1,1,"Y"
3729,45,1,5,4,1,8,8,1,3,1,8,"Y"
3177,46,1,4,5,1,5,6,4,7,8,6,"Y"
3510,46,1,3,3,1,1,1,2,2,2,3,"No"
3807,46,1,3,4,1,9,4,3,5,4,7,"Y"
4293,46,2,4,7,1,4,6,2,1,1,2,"No"
1157,47,1,7,6,1,1,3,2,1,5,3,"No"
1789,47,1,2,3,1,1,1,1,1,2,3,"No"
3200,47,8,8,7,1,9,8,7,8,8,8,"Y"
4387,47,1,4,5,1,1,1,1,1,1,2,"Y"
1158,48,7,8,6,1,8,9,7,5,8,9,"Y"
2259,48,1,3,3,1,1,1,3,1,5,2,"Y"
443,49,1,3,5,1,1,1,4,2,3,4,"Y"
1303,49,2,1,1,1,1,1,1,1,1,1,"No"
159,50,6,5,5,1,1,1,6,4,7,6,"Y"
2083,50,2,5,4,7,3,9,5,7,4,7,"No"
1377,51,2,5,7,3,7,9,2,5,7,3,"No"
1764,51,10,5,5,1,1,4,8,2,6,6,"Y"
1764,52,2,8,5,7,4,2,7,5,8,2,"Y"
1332,53,4,7,4,3,1,1,7,1,8,5,"Y"
1410,53,8,3,7,6,10,4,9,5,9,2,"Y"
1157,54,1,1,1,1,1,1,1,1,1,1,"Y"
1339,54,1,2,2,1,1,1,1,1,1,3,"No"
1619,54,4,9,3,8,6,4,10,7,4,8,"Y"
3729,54,1,5,7,1,10,10,8,1,1,8,"Y"
4293,54,4,5,4,1,1,3,3,1,4,2,"No"
2036,55,10,6,3,8,6,3,9,2,9,6,"No"
2259,55,1,3,4,1,1,1,6,1,2,2,"No"
2261,55,2,6,5,3,1,4,1,1,1,5,"No"
2945,55,1,2,2,1,1,1,1,5,1,7,"Y"
3807,55,1,4,5,1,6,7,2,4,5,5,"Y"
399,56,10,8,8,1,4,7,10,5,10,9,"Y"
1780,56,6,2,4,7,4,6,3,10,5,8,"No"
3172,56,10,6,9,1,9,10,8,8,1,7,"Y"
4068,56,1,3,2,1,4,3,1,2,1,2,"No"
4068,56,2,3,4,1,1,3,1,1,1,3,"No"
4367,56,1,4,6,1,7,6,2,1,1,3,"Y"
1977,57,9,8,8,1,1,1,10,6,10,8,"Y"
2275,57,9,4,7,3,10,5,4,9,3,9,"Y"
2341,57,4,3,2,2,9,7,4,5,7,7,"No"
3200,57,1,6,9,1,10,6,4,1,9,6,"Y"
4072,57,1,2,2,1,1,1,1,1,1,1,"No"
4388,57,1,7,8,1,1,1,3,2,4,3,"Y"
1339,58,1,2,2,1,1,1,1,1,1,3,"No"
1410,58,1,4,5,5,4,5,2,2,3,4,"Y"
3200,58,2,5,7,8,4,7,3,7,5,9,"No"
4293,58,8,7,8,1,7,8,6,3,2,3,"No"
662,59,2,4,5,1,3,7,5,6,3,2,"Y"
1764,59,7,3,6,2,8,5,3,2,6,4,"No"
1787,59,1,3,2,1,1,4,3,2,5,5,"No"
2083,59,8,3,4,1,1,1,8,1,7,6,"No"
3703,59,1,3,5,1,1,1,1,1,1,1,"Y"
1303,60,1,1,1,1,1,1,1,1,1,1,"Tie"
1584,60,1,4,5,1,1,3,1,1,1,1,"Tie"
2996,60,1,2,10,5,8,4,4,9,5,10,"Y"
3510,60,1,3,4,1,1,1,1,1,1,1,"No"
3648,60,1,5,5,1,1,1,1,1,1,3,"Tie"
4068,60,6,3,3,1,2,4,5,1,8,4,"Tie"
399,61,9,9,8,1,7,10,10,1,9,8,"Y"
1361,61,2,1,1,1,1,1,1,1,1,1,"No"
1691,61,5,2,2,1,1,1,1,1,1,2,"Y"
2240,61,6,4,7,3,9,4,9,7,4,9,"No"
